Designator,Mid X,Mid Y,Rotation,Layer
C1,-128.524,306.578,0.0,bottom
C10,-148.59,314.96,90.0,bottom
C11,-147.32,314.96,90.0,bottom
C12,-146.05,314.96,90.0,bottom
C13,-144.78,314.96,90.0,bottom
C14,-143.51,314.96,90.0,bottom
C15,-142.24,314.96,90.0,bottom
C16,-140.97,314.96,90.0,bottom
C17,-139.7,314.96,90.0,bottom
C2,-128.524,310.642,180.0,bottom
C3,-131.318,303.0728,180.0,bottom
C4,-150.114,320.04,90.0,bottom
C5,-142.748,319.024,90.0,bottom
C6,-142.24,304.292,270.0,bottom
C7,-140.97,304.292,270.0,bottom
C8,-139.7,304.292,270.0,bottom
C9,-149.86,314.96,90.0,bottom
D1,-276.08,294.58,90.0,bottom
D10,-245.84,265.15,90.0,bottom
D100,-189.516,252.074,180.0,top
D101,-159.216,252.074,180.0,top
D102,-128.916,252.074,180.0,top
D103,-98.616,252.074,180.0,top
D104,-68.316,252.074,180.0,top
D105,-54.102,235.564,0.0,top
D106,-84.402,235.564,0.0,top
D107,-114.702,235.564,0.0,top
D108,-145.002,235.564,0.0,top
D109,-175.302,235.564,0.0,top
D11,-215.49,265.32,90.0,bottom
D110,-205.602,235.564,0.0,top
D111,-235.902,235.564,0.0,top
D112,-266.202,235.564,0.0,top
D113,-280.416,221.774,180.0,top
D114,-250.116,221.774,180.0,top
D115,-219.816,221.774,180.0,top
D116,-189.516,221.774,180.0,top
D117,-159.216,221.774,180.0,top
D118,-128.916,221.774,180.0,top
D119,-98.616,221.774,180.0,top
D12,-185.22,265.32,90.0,bottom
D120,-68.316,221.774,180.0,top
D121,-54.102,205.264,0.0,top
D122,-84.402,205.264,0.0,top
D123,-114.702,205.264,0.0,top
D124,-145.002,205.264,0.0,top
D125,-175.302,205.264,0.0,top
D126,-205.602,205.264,0.0,top
D127,-235.902,205.264,0.0,top
D128,-266.202,205.264,0.0,top
D129,-280.416,191.474,180.0,top
D13,-154.88,264.91,90.0,bottom
D130,-250.116,191.474,180.0,top
D131,-219.816,191.474,180.0,top
D132,-189.516,191.474,180.0,top
D133,-159.216,191.474,180.0,top
D134,-128.916,191.474,180.0,top
D135,-98.616,191.474,180.0,top
D136,-68.316,191.474,180.0,top
D137,-54.102,174.964,0.0,top
D138,-84.402,174.964,0.0,top
D139,-114.702,174.964,0.0,top
D14,-124.65,265.27,90.0,bottom
D140,-145.002,174.964,0.0,top
D141,-175.302,174.964,0.0,top
D142,-205.602,174.964,0.0,top
D143,-235.902,174.964,0.0,top
D144,-266.202,174.964,0.0,top
D145,-280.416,161.174,180.0,top
D146,-250.116,161.174,180.0,top
D147,-219.816,161.174,180.0,top
D148,-189.516,161.174,180.0,top
D149,-159.216,161.174,180.0,top
D15,-94.29,264.95,90.0,bottom
D150,-128.916,161.174,180.0,top
D151,-98.616,161.174,180.0,top
D152,-68.316,161.174,180.0,top
D153,-54.102,144.664,0.0,top
D154,-84.402,144.664,0.0,top
D155,-114.702,144.664,0.0,top
D156,-145.002,144.664,0.0,top
D157,-175.302,144.664,0.0,top
D158,-205.602,144.664,0.0,top
D159,-235.902,144.664,0.0,top
D16,-64.03,264.87,90.0,bottom
D160,-266.202,144.664,0.0,top
D161,-280.416,130.874,180.0,top
D162,-250.116,130.874,180.0,top
D163,-219.816,130.874,180.0,top
D164,-189.516,130.874,180.0,top
D165,-159.216,130.874,180.0,top
D166,-128.916,130.874,180.0,top
D167,-98.616,130.874,180.0,top
D168,-68.316,130.874,180.0,top
D169,-54.102,114.364,0.0,top
D17,-276.08,233.98,90.0,bottom
D170,-84.402,114.364,0.0,top
D171,-114.702,114.364,0.0,top
D172,-145.002,114.364,0.0,top
D173,-175.302,114.364,0.0,top
D174,-205.602,114.364,0.0,top
D175,-235.902,114.364,0.0,top
D176,-266.202,114.364,0.0,top
D177,-280.416,100.574,180.0,top
D178,-250.116,100.574,180.0,top
D179,-219.816,100.574,180.0,top
D18,-245.82,235.45,90.0,bottom
D180,-189.516,100.574,180.0,top
D181,-159.216,100.574,180.0,top
D182,-128.916,100.574,180.0,top
D183,-98.616,100.574,180.0,top
D184,-68.316,100.574,180.0,top
D185,-54.102,84.064,0.0,top
D186,-84.402,84.064,0.0,top
D187,-114.702,84.064,0.0,top
D188,-145.002,84.064,0.0,top
D189,-175.302,84.064,0.0,top
D19,-215.42,234.55,90.0,bottom
D190,-205.602,84.064,0.0,top
D191,-235.902,84.064,0.0,top
D192,-266.202,84.064,0.0,top
D193,-62.49,292.8475,270.0,bottom
D194,-62.32,259.7075,270.0,bottom
D195,-61.77,228.84,270.0,bottom
D196,-61.5,197.98,270.0,bottom
D197,-62.12,166.02,270.0,bottom
D198,-62.09,137.58,270.0,bottom
D199,-62.14,107.5075,270.0,bottom
D2,-245.78,294.58,90.0,bottom
D20,-185.21,234.36,90.0,bottom
D21,-154.47,234.7,90.0,bottom
D22,-124.5,234.58,90.0,bottom
D23,-94.31,234.71,90.0,bottom
D24,-64.07,234.45,90.0,bottom
D25,-276.08,203.68,90.0,bottom
D26,-245.81,204.43,90.0,bottom
D27,-215.43,204.94,90.0,bottom
D28,-185.21,204.54,90.0,bottom
D29,-154.95,204.56,90.0,bottom
D3,-215.48,294.58,90.0,bottom
D30,-124.69,204.53,90.0,bottom
D31,-94.33,204.88,90.0,bottom
D32,-64.26,204.91,90.0,bottom
D33,-276.08,173.38,90.0,bottom
D34,-245.89,174.18,90.0,bottom
D35,-215.49,174.0,90.0,bottom
D36,-185.43,174.13,90.0,bottom
D37,-155.04,174.02,90.0,bottom
D38,-124.62,174.27,90.0,bottom
D39,-94.52,174.1,90.0,bottom
D4,-186.86,294.91,90.0,bottom
D40,-63.97,174.37,90.0,bottom
D41,-276.08,143.08,90.0,bottom
D42,-245.82,143.93,90.0,bottom
D43,-215.39,144.17,90.0,bottom
D44,-185.27,144.06,90.0,bottom
D45,-155.07,143.98,90.0,bottom
D46,-124.81,144.0,90.0,bottom
D47,-94.6,143.95,90.0,bottom
D48,-64.28,143.96,90.0,bottom
D49,-276.08,112.78,90.0,bottom
D5,-156.01,295.82,90.0,bottom
D50,-245.94,113.55,90.0,bottom
D51,-215.69,113.84,90.0,bottom
D52,-185.25,113.6425,90.0,bottom
D53,-154.99,113.64,90.0,bottom
D54,-124.85,113.77,90.0,bottom
D55,-94.43,113.73,90.0,bottom
D56,-64.04,113.56,90.0,bottom
D57,-276.32,82.98,90.0,bottom
D58,-245.88,83.24,90.0,bottom
D59,-215.6,83.19,90.0,bottom
D6,-124.6,296.12,90.0,bottom
D60,-185.25,83.28,90.0,bottom
D61,-155.0,83.21,90.0,bottom
D62,-124.67,83.15,90.0,bottom
D63,-94.3,83.22,90.0,bottom
D64,-64.01,83.35,90.0,bottom
D65,-280.416,312.674,180.0,top
D66,-250.116,312.674,180.0,top
D67,-219.816,312.674,180.0,top
D68,-189.516,312.674,180.0,top
D69,-159.216,312.674,180.0,top
D7,-100.87,296.6,90.0,bottom
D70,-128.916,312.674,180.0,top
D71,-98.616,312.674,180.0,top
D72,-68.316,312.674,180.0,top
D73,-54.102,296.164,0.0,top
D74,-84.402,296.164,0.0,top
D75,-114.702,296.164,0.0,top
D76,-145.002,296.164,0.0,top
D77,-175.302,296.164,0.0,top
D78,-205.602,296.164,0.0,top
D79,-235.902,296.164,0.0,top
D8,-69.6,296.84,90.0,bottom
D80,-266.202,296.164,0.0,top
D81,-280.416,282.374,180.0,top
D82,-250.116,282.374,180.0,top
D83,-219.816,282.374,180.0,top
D84,-189.516,282.374,180.0,top
D85,-159.216,282.374,180.0,top
D86,-128.916,282.374,180.0,top
D87,-98.616,282.374,180.0,top
D88,-68.316,282.374,180.0,top
D89,-54.102,265.864,0.0,top
D9,-276.08,264.28,90.0,bottom
D90,-84.402,265.864,0.0,top
D91,-114.702,265.864,0.0,top
D92,-145.002,265.864,0.0,top
D93,-175.302,265.864,0.0,top
D94,-205.602,265.864,0.0,top
D95,-235.902,265.864,0.0,top
D96,-266.202,265.864,0.0,top
D97,-280.416,252.074,180.0,top
D98,-250.116,252.074,180.0,top
D99,-219.816,252.074,180.0,top
F1,-164.8206,312.1406,270.0,bottom
J2,-168.09,319.278,180.0,bottom
R1,-128.524,305.308,0.0,bottom
R2,-145.8468,299.593,180.0,bottom
R3,-142.748,309.372,180.0,bottom
R4,-142.748,307.594,180.0,bottom
R5,-131.191,304.7238,180.0,bottom
R6,-166.878,312.166,270.0,bottom
R7,-169.672,312.166,270.0,bottom
R8,-138.43,317.246,90.0,bottom
U1,-136.144,309.626,270.0,bottom
U2,-135.3058,300.0502,90.0,bottom
U3,-168.148,307.34,180.0,bottom
U4,-146.304,319.532,180.0,bottom
Y1,-128.524,308.61,90.0,bottom
